"lon","lat"
142.235,-10.2175
142.495,-10.7675
142.395,-10.8675
142.625,-10.9475
132.555,-10.9975
142.325,-11.0775
142.245,-11.1775
130.385,-11.2075
132.235,-11.2075
142.755,-11.2075
131.215,-11.2275
132.425,-11.2275
142.785,-11.2275
142.775,-11.2475
130.455,-11.2775
142.305,-11.2875
131.285,-11.3175
130.515,-11.3675
142.785,-11.3775
142.635,-11.3875
132.995,-11.4375
132.835,-11.4475
130.275,-11.4775
142.155,-11.4875
131.365,-11.4975
131.275,-11.5275
132.115,-11.5675
130.875,-11.5975
142.105,-11.6075
142.725,-11.6075
132.615,-11.6375
130.715,-11.7175
142.635,-11.7375
142.275,-11.7475
132.795,-11.7675
130.835,-11.7775
133.235,-11.7775
130.215,-11.7975
142.255,-11.7975
142.425,-11.7975
130.905,-11.8575
142.165,-11.8575
133.775,-11.9075
142.235,-11.9075
132.775,-11.9175
133.595,-11.9275
133.625,-11.9275
133.635,-11.9675
133.055,-11.9875
132.805,-12.0375
133.775,-12.0475
142.305,-12.0475
141.975,-12.0575
133.025,-12.0775
142.145,-12.0775
133.265,-12.0875
142.765,-12.0975
134.175,-12.1075
133.295,-12.1175
136.275,-12.1175
134.155,-12.1875
135.945,-12.1875
142.205,-12.1875
133.235,-12.2075
141.815,-12.2175
135.585,-12.2275
136.385,-12.2575
132.355,-12.2675
133.995,-12.2675
142.455,-12.2675
132.145,-12.2775
132.745,-12.2775
133.865,-12.2875
133.995,-12.2875
142.645,-12.2875
132.615,-12.2975
135.805,-12.2975
133.015,-12.3075
134.125,-12.3075
134.435,-12.3475
136.905,-12.3475
135.245,-12.3575
132.185,-12.3675
132.415,-12.3675
133.185,-12.3675
142.375,-12.3675
136.395,-12.3875
131.365,-12.3975
132.675,-12.3975
135.095,-12.3975
135.645,-12.3975
135.765,-12.3975
135.925,-12.3975
131.315,-12.4075
133.395,-12.4175
135.415,-12.4175
136.455,-12.4175
130.645,-12.4375
134.335,-12.4375
142.785,-12.4375
143.055,-12.4375
134.505,-12.4575
136.015,-12.4775
131.815,-12.4875
136.305,-12.4875
142.655,-12.4875
132.555,-12.4975
132.895,-12.4975
134.915,-12.4975
135.025,-12.4975
142.005,-12.4975
142.825,-12.4975
131.975,-12.5275
132.195,-12.5275
133.985,-12.5375
132.605,-12.5475
133.525,-12.5475
135.675,-12.5575
142.765,-12.5575
131.555,-12.5675
134.065,-12.5675
135.045,-12.5675
143.295,-12.5675
132.235,-12.5775
143.375,-12.5775
133.505,-12.5975
142.765,-12.6075
141.905,-12.6175
143.155,-12.6175
136.555,-12.6275
134.705,-12.6375
131.535,-12.6475
134.885,-12.6475
142.175,-12.6575
136.225,-12.6675
130.535,-12.6775
133.635,-12.6875
130.495,-12.7075
133.545,-12.7075
136.275,-12.7175
142.405,-12.7275
135.465,-12.7475
142.605,-12.7575
142.875,-12.7575
132.745,-12.7675
134.655,-12.7675
130.605,-12.7775
130.985,-12.7775
134.345,-12.7775
133.675,-12.7875
135.575,-12.7875
135.785,-12.7975
135.865,-12.7975
136.515,-12.7975
133.945,-12.8075
142.395,-12.8075
143.345,-12.8075
132.395,-12.8175
132.965,-12.8175
135.365,-12.8275
131.835,-12.8475
136.305,-12.8475
142.525,-12.8475
134.015,-12.8575
141.895,-12.8575
133.885,-12.8675
135.165,-12.8675
142.235,-12.8675
130.565,-12.8775
133.485,-12.8775
133.675,-12.8775
133.765,-12.8775
134.165,-12.8775
136.115,-12.8775
142.175,-12.8875
130.855,-12.9075
136.505,-12.9075
134.685,-12.9275
142.805,-12.9375
132.755,-12.9475
142.015,-12.9475
141.615,-12.9575
133.185,-12.9675
133.355,-12.9675
134.405,-12.9675
133.525,-12.9775
134.155,-12.9775
134.355,-12.9775
133.335,-12.9875
133.435,-12.9875
135.095,-12.9875
142.475,-12.9875
133.995,-12.9975
131.765,-13.0075
136.525,-13.0175
130.935,-13.0275
130.745,-13.0375
133.245,-13.0375
133.775,-13.0475
136.425,-13.0475
141.855,-13.0475
142.255,-13.0475
132.365,-13.0575
131.345,-13.0675
133.155,-13.0675
134.635,-13.0775
134.945,-13.0775
135.655,-13.0875
131.915,-13.0975
133.135,-13.0975
135.525,-13.0975
133.535,-13.1075
133.775,-13.1075
132.095,-13.1175
132.425,-13.1175
130.795,-13.1275
135.835,-13.1375
