"lon","lat"
145.365,-15.8675
145.285,-15.9075
145.265,-15.9175
145.285,-15.9375
145.255,-15.9975
145.335,-15.9975
145.395,-16.0075
145.345,-16.0675
145.285,-16.1175
145.165,-16.1275
145.385,-16.1275
145.435,-16.1375
145.405,-16.1575
145.435,-16.2375
145.405,-16.2975
145.335,-16.3175
145.385,-16.3175
145.405,-16.3275
145.275,-16.3475
145.375,-16.3575
145.305,-16.3775
145.365,-16.3975
144.995,-16.5375
145.195,-16.5375
145.075,-16.5475
145.245,-16.5475
145.405,-16.5575
144.965,-16.5875
144.965,-16.6075
145.515,-16.6075
145.125,-16.6475
145.155,-16.6475
145.415,-16.6475
145.245,-16.6675
145.035,-16.6775
144.975,-16.6875
145.315,-16.6875
145.355,-16.6975
145.285,-16.7275
145.045,-16.7375
145.265,-16.7375
145.495,-16.7375
145.605,-16.7575
145.325,-16.7775
145.515,-16.7775
145.315,-16.7875
145.155,-16.7975
145.635,-16.7975
144.975,-16.8075
145.205,-16.8075
145.085,-16.8275
145.495,-16.8275
145.725,-16.8275
145.735,-16.8275
145.515,-16.8475
145.105,-16.8575
145.555,-16.8575
145.055,-16.8675
145.665,-16.8675
145.675,-16.8675
145.925,-16.8675
145.125,-16.8775
144.945,-16.9075
145.465,-16.9075
145.335,-16.9275
145.535,-16.9275
145.385,-16.9475
144.845,-16.9575
144.875,-16.9575
145.255,-16.9675
145.435,-16.9675
145.245,-16.9775
145.505,-16.9775
144.845,-17.0175
145.615,-17.0175
145.285,-17.0375
145.325,-17.0475
145.545,-17.0475
144.905,-17.0675
145.695,-17.0675
145.795,-17.0675
145.325,-17.0875
145.355,-17.1075
145.535,-17.1175
145.575,-17.1175
145.395,-17.1375
145.105,-17.1475
145.195,-17.1575
145.625,-17.1575
145.705,-17.1575
144.795,-17.1875
144.845,-17.1875
145.815,-17.1875
145.655,-17.1975
145.735,-17.2075
145.635,-17.2275
145.515,-17.2375
145.915,-17.2375
145.965,-17.2375
144.955,-17.2675
144.905,-17.2775
144.875,-17.2875
145.675,-17.3075
144.815,-17.3275
144.835,-17.3275
144.775,-17.3375
145.385,-17.3375
145.525,-17.3375
145.235,-17.3475
144.995,-17.3775
144.985,-17.3875
145.205,-17.3875
145.775,-17.3875
145.575,-17.3975
144.995,-17.4175
145.955,-17.4275
145.875,-17.4375
145.215,-17.4475
145.705,-17.4475
144.755,-17.4675
145.095,-17.4775
145.735,-17.4775
144.895,-17.4875
144.805,-17.4975
145.355,-17.5175
145.725,-17.5175
144.945,-17.5275
144.985,-17.5375
145.245,-17.5475
145.985,-17.5475
144.695,-17.5575
145.065,-17.5575
144.685,-17.5675
145.185,-17.5675
145.385,-17.5775
144.885,-17.5875
145.165,-17.5875
145.555,-17.5875
145.515,-17.5975
145.725,-17.5975
146.095,-17.6075
145.265,-17.6175
145.045,-17.6275
145.615,-17.6275
145.715,-17.6275
145.175,-17.6375
145.595,-17.6475
146.115,-17.6775
144.645,-17.6875
145.495,-17.6875
145.665,-17.6875
145.355,-17.6975
145.955,-17.6975
144.895,-17.7075
145.335,-17.7075
144.875,-17.7175
145.135,-17.7175
145.145,-17.7175
145.305,-17.7275
145.415,-17.7275
145.645,-17.7275
145.195,-17.7475
145.065,-17.7575
145.205,-17.7575
145.955,-17.7575
145.005,-17.7675
145.125,-17.7675
144.895,-17.7875
145.655,-17.7875
144.915,-17.7975
145.405,-17.7975
145.575,-17.8175
144.685,-17.8275
144.705,-17.8275
144.745,-17.8275
145.405,-17.8275
145.455,-17.8275
145.565,-17.8275
145.125,-17.8375
145.045,-17.8475
145.265,-17.8475
144.645,-17.8575
145.965,-17.8575
144.955,-17.8675
145.585,-17.8775
145.965,-17.8775
144.805,-17.8875
145.165,-17.8875
144.735,-17.8975
145.825,-17.8975
145.945,-17.8975
146.015,-17.8975
145.625,-17.9075
146.085,-17.9075
144.795,-17.9175
145.165,-17.9175
144.605,-17.9275
144.705,-17.9275
144.995,-17.9275
146.145,-17.9275
145.205,-17.9375
145.365,-17.9375
145.915,-17.9475
144.875,-17.9575
145.705,-17.9575
145.175,-17.9675
144.715,-17.9775
145.345,-17.9775
145.845,-17.9875
144.905,-18.0075
145.235,-18.0075
145.415,-18.0075
145.845,-18.0175
144.825,-18.0275
145.715,-18.0275
144.865,-18.0375
145.245,-18.0375
145.285,-18.0375
145.705,-18.0375
145.725,-18.0475
145.795,-18.0475
144.695,-18.0575
144.935,-18.0675
144.955,-18.0775
144.835,-18.1175
144.555,-18.1275
145.225,-18.1275
144.745,-18.1375
145.985,-18.1375
145.005,-18.1475
144.635,-18.1575
145.975,-18.1575
144.605,-18.1675
144.625,-18.1675
144.745,-18.1775
144.705,-18.1975
144.935,-18.2075
145.345,-18.2075
144.935,-18.2175
145.345,-18.2175
144.625,-18.2275
145.815,-18.2275
145.725,-18.2375
144.475,-18.2475
144.525,-18.2575
144.555,-18.2575
145.155,-18.2575
145.625,-18.2675
145.985,-18.2775
145.355,-18.2875
144.835,-18.2975
145.535,-18.3075
145.255,-18.3275
146.255,-18.3275
144.845,-18.3375
145.315,-18.3375
145.645,-18.3375
145.675,-18.3375
146.275,-18.3375
146.025,-18.3475
145.015,-18.3575
144.715,-18.3975
145.305,-18.3975
145.885,-18.3975
146.255,-18.3975
145.485,-18.4075
146.195,-18.4075
144.695,-18.4175
144.715,-18.4475
145.005,-18.4475
145.675,-18.4475
145.145,-18.4575
145.965,-18.4575
144.775,-18.4675
145.175,-18.4675
146.315,-18.4775
144.895,-18.4875
144.945,-18.4975
144.855,-18.5075
144.935,-18.5075
145.235,-18.5075
146.105,-18.5075
146.215,-18.5075
146.245,-18.5075
144.775,-18.5175
145.195,-18.5175
145.815,-18.5375
146.275,-18.5375
145.045,-18.5475
144.525,-18.5575
144.935,-18.5575
145.785,-18.5575
145.315,-18.5775
145.935,-18.5775
146.095,-18.5775
146.185,-18.5775
144.905,-18.5875
145.175,-18.5875
145.385,-18.5975
145.545,-18.5975
146.235,-18.5975
145.265,-18.6075
145.665,-18.6075
145.335,-18.6175
145.575,-18.6175
144.555,-18.6275
145.175,-18.6275
145.255,-18.6275
145.815,-18.6275
145.025,-18.6375
145.515,-18.6375
146.315,-18.6375
144.515,-18.6575
144.945,-18.6575
145.685,-18.6575
146.485,-18.6575
144.865,-18.6675
145.905,-18.6675
146.075,-18.6675
144.835,-18.6775
145.525,-18.6775
145.585,-18.6775
145.905,-18.6775
146.145,-18.6775
146.215,-18.6775
144.985,-18.6875
145.435,-18.6875
145.525,-18.6875
145.535,-18.6875
145.585,-18.6875
145.895,-18.6875
146.095,-18.6875
146.215,-18.6875
145.025,-18.6975
144.525,-18.7075
146.185,-18.7175
145.255,-18.7275
146.105,-18.7275
144.785,-18.7375
144.955,-18.7375
145.395,-18.7375
145.945,-18.7375
145.475,-18.7475
145.585,-18.7475
145.525,-18.7575
145.005,-18.7675
145.285,-18.7675
145.545,-18.7675
145.875,-18.7675
144.945,-18.7775
145.205,-18.7775
145.555,-18.7875
145.445,-18.7975
145.815,-18.7975
146.035,-18.7975
146.165,-18.7975
144.745,-18.8075
145.775,-18.8075
146.105,-18.8075
144.845,-18.8175
144.865,-18.8175
145.005,-18.8175
146.115,-18.8375
144.845,-18.8475
145.405,-18.8575
144.635,-18.8675
144.765,-18.8675
144.885,-18.8775
144.895,-18.8775
144.955,-18.8775
144.595,-18.8875
144.605,-18.8875
145.795,-18.8875
145.165,-18.8975
145.645,-18.8975
145.055,-18.9075
145.515,-18.9075
145.805,-18.9075
145.555,-18.9175
145.745,-18.9275
145.295,-18.9375
145.825,-18.9475
144.465,-18.9575
144.505,-18.9575
144.655,-18.9575
145.185,-18.9575
146.215,-18.9575
144.585,-18.9675
145.485,-18.9675
145.985,-18.9675
146.035,-18.9675
146.175,-18.9675
144.495,-18.9775
145.475,-18.9875
145.575,-18.9875
144.795,-18.9975
144.865,-18.9975
145.155,-18.9975
144.635,-19.0075
144.915,-19.0175
145.235,-19.0175
145.365,-19.0175
145.095,-19.0275
145.265,-19.0275
145.485,-19.0275
145.575,-19.0275
145.145,-19.0375
146.315,-19.0375
144.905,-19.0475
145.555,-19.0575
145.585,-19.0575
146.265,-19.0675
145.145,-19.0775
145.385,-19.0775
145.555,-19.0775
145.615,-19.0775
146.275,-19.0775
144.695,-19.0875
144.795,-19.0875
145.135,-19.0875
145.485,-19.0875
145.485,-19.0975
144.475,-19.1075
145.015,-19.1075
145.755,-19.1075
146.295,-19.1175
144.485,-19.1275
144.815,-19.1275
145.705,-19.1275
146.145,-19.1275
146.265,-19.1275
146.505,-19.1275
146.005,-19.1375
146.255,-19.1375
146.555,-19.1375
144.675,-19.1475
144.965,-19.1475
145.005,-19.1475
145.545,-19.1475
145.735,-19.1475
145.185,-19.1575
145.285,-19.1575
145.825,-19.1675
144.555,-19.1775
145.665,-19.1775
146.185,-19.1775
145.205,-19.1875
145.265,-19.1875
146.415,-19.1875
145.905,-19.1975
144.695,-19.2075
144.745,-19.2075
145.965,-19.2075
146.045,-19.2075
146.215,-19.2175
146.325,-19.2175
144.935,-19.2275
145.025,-19.2275
145.805,-19.2275
145.245,-19.2375
145.405,-19.2375
145.875,-19.2375
146.325,-19.2375
145.005,-19.2475
145.035,-19.2575
144.595,-19.2675
145.795,-19.2675
146.195,-19.2675
146.325,-19.2675
146.685,-19.2675
147.015,-19.2675
144.805,-19.2775
145.285,-19.2775
147.005,-19.2775
144.805,-19.2875
144.965,-19.2875
146.405,-19.2875
146.405,-19.2975
144.455,-19.3075
146.175,-19.3175
146.315,-19.3175
146.645,-19.3175
146.855,-19.3175
145.345,-19.3275
146.375,-19.3275
145.845,-19.3375
145.975,-19.3375
146.385,-19.3375
146.695,-19.3375
144.745,-19.3475
146.215,-19.3475
146.415,-19.3475
146.805,-19.3475
145.095,-19.3575
146.445,-19.3575
145.055,-19.3675
145.595,-19.3675
146.105,-19.3675
144.465,-19.3775
144.505,-19.3775
144.855,-19.3775
145.025,-19.3775
144.565,-19.3975
145.685,-19.3975
146.825,-19.3975
147.065,-19.3975
147.085,-19.3975
145.255,-19.4075
145.565,-19.4075
145.995,-19.4075
146.265,-19.4075
146.465,-19.4075
145.385,-19.4175
146.675,-19.4175
146.695,-19.4175
146.925,-19.4175
144.505,-19.4275
145.675,-19.4275
145.265,-19.4375
147.075,-19.4375
147.095,-19.4375
145.135,-19.4475
145.325,-19.4475
146.815,-19.4475
147.415,-19.4475
144.825,-19.4575
146.555,-19.4575
144.465,-19.4675
144.495,-19.4675
146.505,-19.4675
146.995,-19.4675
147.005,-19.4675
145.955,-19.4775
146.065,-19.4775
146.235,-19.4775
146.495,-19.4775
145.635,-19.4875
146.725,-19.4875
146.945,-19.4875
144.885,-19.4975
145.455,-19.4975
146.765,-19.4975
144.795,-19.5075
144.985,-19.5075
147.285,-19.5075
147.295,-19.5075
145.695,-19.5175
146.235,-19.5175
146.465,-19.5175
144.875,-19.5275
144.935,-19.5375
145.225,-19.5375
145.855,-19.5375
146.405,-19.5375
144.705,-19.5475
145.195,-19.5475
146.415,-19.5475
147.255,-19.5475
145.725,-19.5575
146.175,-19.5575
146.355,-19.5575
145.095,-19.5675
145.145,-19.5675
145.475,-19.5675
146.295,-19.5675
146.885,-19.5675
145.155,-19.5775
145.445,-19.5775
145.965,-19.5775
147.415,-19.5775
144.725,-19.5875
146.855,-19.5875
146.955,-19.5875
147.125,-19.5875
144.855,-19.5975
145.095,-19.5975
146.475,-19.5975
146.525,-19.5975
144.505,-19.6075
144.985,-19.6075
145.695,-19.6075
145.785,-19.6075
145.825,-19.6075
146.565,-19.6075
146.585,-19.6075
146.755,-19.6075
147.505,-19.6075
147.515,-19.6075
144.595,-19.6175
146.655,-19.6175
147.035,-19.6175
144.815,-19.6275
144.845,-19.6275
147.095,-19.6275
145.555,-19.6375
145.735,-19.6375
145.985,-19.6375
147.005,-19.6375
144.665,-19.6475
144.825,-19.6475
145.645,-19.6475
147.255,-19.6475
144.665,-19.6575
145.055,-19.6575
145.595,-19.6575
146.375,-19.6575
145.405,-19.6675
147.025,-19.6675
144.735,-19.6775
146.795,-19.6775
147.165,-19.6775
144.915,-19.6875
146.555,-19.6875
144.505,-19.6975
147.535,-19.6975
144.615,-19.7075
144.785,-19.7075
145.515,-19.7075
146.905,-19.7075
144.705,-19.7275
145.025,-19.7275
145.695,-19.7375
146.515,-19.7375
146.685,-19.7375
145.625,-19.7475
146.415,-19.7475
147.505,-19.7475
145.105,-19.7575
145.385,-19.7575
145.875,-19.7575
146.335,-19.7575
146.325,-19.7675
147.045,-19.7775
145.155,-19.7875
145.215,-19.7875
145.715,-19.7875
145.995,-19.7875
146.385,-19.7875
146.475,-19.7875
146.635,-19.7875
144.455,-19.7975
144.565,-19.7975
145.065,-19.7975
145.515,-19.7975
145.755,-19.7975
144.545,-19.8075
144.705,-19.8075
145.635,-19.8075
145.935,-19.8075
146.435,-19.8075
147.215,-19.8075
144.765,-19.8175
146.125,-19.8175
146.795,-19.8175
145.285,-19.8275
146.575,-19.8275
146.835,-19.8275
147.315,-19.8275
144.555,-19.8375
144.945,-19.8375
147.455,-19.8375
147.585,-19.8375
144.665,-19.8475
146.345,-19.8475
146.895,-19.8475
147.065,-19.8475
147.845,-19.8475
146.025,-19.8575
145.165,-19.8675
146.145,-19.8675
146.435,-19.8775
147.395,-19.8775
147.745,-19.8775
146.985,-19.8875
146.525,-19.8975
147.245,-19.8975
147.485,-19.8975
147.535,-19.8975
144.485,-19.9075
144.715,-19.9075
144.795,-19.9075
145.015,-19.9075
145.315,-19.9175
146.275,-19.9175
146.875,-19.9175
145.065,-19.9275
144.835,-19.9375
146.845,-19.9375
146.855,-19.9375
147.545,-19.9375
147.635,-19.9375
144.465,-19.9475
146.205,-19.9475
145.105,-19.9575
146.255,-19.9575
146.335,-19.9575
146.555,-19.9575
145.005,-19.9675
145.505,-19.9675
146.135,-19.9675
147.075,-19.9675
147.525,-19.9675
148.025,-19.9675
147.325,-19.9775
147.765,-19.9775
147.915,-19.9775
148.265,-19.9775
148.445,-19.9775
144.685,-19.9875
145.115,-19.9875
146.925,-19.9875
144.845,-19.9975
146.255,-19.9975
146.625,-19.9975
147.875,-19.9975
148.215,-19.9975
144.745,-20.0075
144.815,-20.0075
146.035,-20.0075
148.115,-20.0175
144.585,-20.0275
144.885,-20.0275
145.345,-20.0275
145.705,-20.0275
146.285,-20.0275
146.665,-20.0275
147.935,-20.0275
144.745,-20.0375
145.065,-20.0375
146.295,-20.0375
146.305,-20.0375
